TM,lat,lon,ERA5_precipitation,ERA5L1_start_soil,ERA5L1_delta_soil,ERA5L2_start_soil,ERA5L2_delta_soil,ERA5L3_start_soil,ERA5L3_delta_soil,BD1,BD2,BD3,FC1,FC2,FC3,CLCD,ASML1_RSM,ASML2_RSM,ASML3_RSM,DSML1_RSM,DSML2_RSM,DSML3_RSM,ENDL1_RSM,ENDL2_RSM,ENDL3_RSM,DELTA_ASML1,DELTA_ASML2
2017_04_24,24.395834350585936,116.00416564941406,3.2930136,0.46224976,0.033416748,0.47247314,0.009292603,0.46040344,0.0002593994,1.13,1.31,1.36,0.31049,0.29549098,0.29119098,1.0,131.75,122.0567,116.257706,9.52441,2.4006114,0.06550164,141.27441,124.45731,116.323204,-9.693298,-5.798996
2021_09_16,34.09583435058593,109.90416564941408,16.477406,0.40359497,0.026062012,0.37219238,0.057144165,0.3830719,0.020492554,1.36,1.33,1.42,0.26496,0.2593971,0.25599712,1.0,112.0022,107.88244,105.37968,7.2325044,16.563616,5.6373196,119.2347,124.44605,111.017,-4.1197586,-2.5027618
2022_04_30,24.395834350585936,111.10416564941406,11.168465,0.41558838,0.006011963,0.41203308,0.017654419,0.41151428,0.023529053,1.29,1.2,1.37,0.38850653,0.39046204,0.3865288,1.0,82.92307,87.93707,77.711006,1.1995773,3.7678475,4.443263,84.12265,91.70492,82.15427,5.014,-10.226067
2017_08_13,41.69583435058594,122.40416564941408,10.485038,0.29507446,0.12876892,0.30628967,0.04547119,0.18551636,0.001373291,1.38,1.55,1.56,0.17520608,0.15476742,0.13951439,1.0,122.04033,127.67949,85.23905,53.257744,18.955057,0.63098496,175.29807,146.63455,85.87003,5.63916,-42.440437
2022_11_24,44.19583435058594,125.60416564941406,0.20000637,0.39161682,0.008041382,0.37504578,0.018295288,0.35977173,0.0017242432,1.23,1.36,1.53,0.33136174,0.32336503,0.32369417,1.0,96.08462,85.281006,72.644165,1.9729825,4.1601334,0.34815463,98.0576,89.44114,72.99232,-10.803612,-12.636841
2018_03_17,29.695834350585937,105.60416564941406,1.8239393,0.4096527,0.026062012,0.3348236,0.048812866,0.35403442,4.5776367e-05,1.32,1.43,1.56,0.2980087,0.31160146,0.3408271,1.0,104.138885,75.14162,66.58659,6.625292,10.954658,0.008609593,110.764175,86.096275,66.5952,-28.997269,-8.555023
2018_02_26,35.09583435058593,105.10416564941406,0.011533499,0.35229492,0.0012207031,0.3473816,0.0013427734,0.33537292,6.1035156e-05,1.21,1.3,1.34,0.27331737,0.2714721,0.26968336,1.0,106.52554,98.43245,92.8045,0.3691114,0.38048205,0.016889667,106.89465,98.812935,92.82139,-8.093094,-5.6279526
2017_10_15,26.395834350585936,115.70416564941408,1.4042884,0.35801697,0.08969116,0.28205872,0.037094116,0.30867004,0.000289917,1.1,1.24,1.34,0.31854784,0.31074494,0.27510104,1.0,102.17303,73.200455,83.733154,25.596601,9.626741,0.078646004,127.76963,82.827194,83.8118,-28.972572,10.5327
2020_08_26,42.395834350585936,126.30416564941407,28.646023,0.39190674,0.008377075,0.39292908,0.03175354,0.36125183,0.025482178,1.27,1.19,1.38,0.31484,0.28985268,0.2668627,1.0,98.01423,113.91735,98.09415,2.0950713,9.205934,6.9194183,100.1093,123.12328,105.013565,15.903122,-15.823204
2020_01_23,31.29583435058593,104.10416564941406,1.952067,0.3882141,0.01802063,0.37820435,0.011154175,0.35682678,0.0005645752,1.11,1.3,1.44,0.28175,0.29566926,0.28016925,1.0,124.132195,98.395905,88.445244,5.7621303,2.9019368,0.13993901,129.89432,101.297844,88.58518,-25.73629,-9.950661
2021_10_06,19.895834350585936,110.90416564941408,7.0835276,0.45236206,0.046661377,0.42590332,0.049713135,0.39605713,0.0026550293,1.35,1.41,1.26,0.26873085,0.25877103,0.2632356,1.0,124.69094,116.72833,119.41054,12.861933,13.624996,0.80048686,137.55287,130.35333,120.21102,-7.9626083,2.6822052
2021_05_08,47.09583435058594,132.40416564941407,1.5151948,0.3722992,0.01399231,0.35578918,0.013153076,0.34561157,0.00033569336,1.32,1.4,1.48,0.31198,0.3190927,0.30765268,1.0,90.40478,79.64304,75.904205,3.397729,2.9443026,0.07372594,93.802505,82.58735,75.97793,-10.761734,-3.7388382
2022_01_30,22.095834350585932,111.60416564941406,1.6187757,0.276062,0.014968872,0.26072693,0.00012207031,0.2833252,7.6293945e-05,1.32,1.25,1.35,0.31381,0.30299705,0.26578707,1.0,66.64475,68.83946,78.96191,3.6136687,0.0322301,0.021262897,70.25842,68.87169,78.98317,2.1947098,10.122444
2021_04_23,33.395834350585936,113.00416564941406,3.48939,0.3250885,0.050460815,0.31755066,0.0060272217,0.27590942,0.00047302246,1.26,1.44,1.55,0.31626737,0.3210849,0.32954118,1.0,81.57868,68.68006,54.01634,12.662787,1.3035712,0.09260626,94.24147,69.983635,54.108944,-12.898621,-14.663723
2017_10_14,25.495834350585938,112.20416564941408,4.6809316,0.38589478,0.08862305,0.32359314,0.013793945,0.3592987,0.0001373291,1.17,1.21,1.33,0.30841824,0.27813548,0.25716633,1.0,106.94069,96.151825,105.0485,24.55957,4.098706,0.04015104,131.50026,100.250534,105.08865,-10.788864,8.896675
2022_09_14,30.595834350585932,106.20416564941408,16.448349,0.16383362,0.22447205,0.17126465,0.0839386,0.20826721,0.00047302246,1.23,1.38,1.5,0.3175252,0.31432822,0.31509563,1.0,41.948814,39.48256,44.06434,57.474995,19.350815,0.10008019,99.42381,58.833374,44.164417,-2.4662552,4.5817795
2017_05_29,27.395834350585936,101.70416564941408,5.7325215,0.3855133,0.03791809,0.38935852,3.0517578e-05,0.3434143,0.0023956299,1.09,0.89,1.23,0.32509565,0.31844515,0.29689735,1.0,108.79319,137.3805,94.03877,10.700616,0.010767761,0.6560067,119.493805,137.39127,94.69478,28.587303,-43.34172
2020_06_19,32.19583435058594,111.80416564941407,12.103587,0.36506653,0.049697876,0.36982727,0.021896362,0.22744751,0.0030059814,1.34,1.35,1.46,0.3954835,0.38309455,0.37729782,1.0,68.887245,71.50875,41.28992,9.37788,4.233818,0.54569393,78.26512,75.74257,41.835613,2.6215057,-30.21883
2017_10_21,31.195834350585937,105.70416564941408,11.520892,0.44125366,0.029266357,0.42889404,0.041122437,0.44306946,0.012237549,1.22,1.42,1.55,0.28944302,0.30656615,0.33184463,1.0,124.95838,98.522964,86.14009,8.287924,9.446399,2.3791838,133.2463,107.96936,88.51927,-26.435417,-12.382874
2017_08_12,48.59583435058594,125.50416564941406,0.57306886,0.38526917,0.0009613037,0.3799286,0.0001373291,0.2509613,0.0063476562,1.24,1.21,1.37,0.33143565,0.32694334,0.3152305,1.0,93.743965,96.03822,58.110954,0.2339051,0.034714006,1.4698216,93.97787,96.07294,59.580776,2.294258,-37.92727
2017_10_08,33.295834350585935,105.40416564941408,2.811983,0.42240906,0.0019683838,0.42140198,0.0029754639,0.39683533,0.016357422,1.19,1.36,1.42,0.26547956,0.27263808,0.28143832,1.0,133.7073,113.650444,99.2976,0.6230626,0.80247086,4.0930147,134.33037,114.45291,103.39062,-20.056862,-14.352844
2020_03_02,26.495834350585938,113.60416564941406,5.3811474,0.4741974,0.04194641,0.47911072,0.020706177,0.47450256,0.000869751,1.12,1.23,1.43,0.32146174,0.30790085,0.29075,1.0,131.7079,126.50856,114.125534,11.650579,5.467439,0.20918916,143.35847,131.976,114.334724,-5.199341,-12.383026
