TM,lat,lon,ERA5_precipitation,ERA5L1_start_soil,ERA5L1_delta_soil,ERA5L2_start_soil,ERA5L2_delta_soil,ERA5L3_start_soil,ERA5L3_delta_soil,BD1,BD2,BD3,FC1,FC2,FC3,CLCD,ASML1_RSM,ASML2_RSM,ASML3_RSM,DSML1_RSM,DSML2_RSM,DSML3_RSM,ENDL1_RSM,ENDL2_RSM,ENDL3_RSM,DELTA_ASML1,DELTA_ASML2
2021_07_01,27.395834350585936,104.60416564941406,3.9404182,0.41386414,0.007232666,0.4155426,0.00819397,0.42388916,0.0035552979,1.22,1.3,1.28,0.28978783,0.29078573,0.2939068,1.0,117.06251,109.925674,112.67633,2.0457776,2.167594,0.94505346,119.108284,112.09327,113.62138,-7.136833,2.7506561
2020_02_25,31.395834350585936,108.20416564941408,4.436702,0.47988892,0.039505005,0.4850006,0.013900757,0.48117065,0.0014343262,1.26,1.28,1.44,0.29938132,0.29968774,0.2997071,1.0,127.2171,126.43384,111.49093,10.472657,3.6237605,0.3323444,137.68976,130.0576,111.82327,-0.78326416,-14.942909
2021_08_04,47.895834350585936,125.30416564941407,8.628845,0.4059143,0.02407837,0.39361572,0.03489685,0.3358612,0.013946533,1.25,1.24,1.42,0.31198,0.3190927,0.30765268,1.0,104.08726,99.479576,76.87955,6.1743364,8.819575,3.1923995,110.2616,108.29915,80.071945,-4.6076813,-22.600029
2022_03_19,32.19583435058594,116.20416564941408,22.360962,0.31056213,0.092041016,0.32269287,0.055145264,0.2763214,0.0040740967,1.3,1.4,1.55,0.33637,0.3263683,0.3360983,1.0,71.02119,70.624176,53.041588,21.048483,12.069026,0.78204787,92.06967,82.6932,53.823635,-0.3970108,-17.582588
2017_04_18,48.895834350585936,129.00416564941406,2.7889907,0.4045868,0.012313843,0.3818512,0.022735596,0.3457489,0.0039520264,1.18,1.2,1.43,0.31198,0.3190927,0.30765268,1.0,109.90134,99.72316,78.589424,3.3449132,5.937563,0.89830345,113.24625,105.66072,79.487724,-10.178177,-21.133736
2021_10_02,34.99583435058594,104.40416564941408,3.167942,0.3239746,0.071517944,0.33462524,0.01966858,0.27546692,0.0009765625,1.23,1.28,1.33,0.31712303,0.30969065,0.29976413,1.0,83.05736,84.4152,69.09365,18.335052,4.9617505,0.24494511,101.39241,89.37695,69.33859,1.3578415,-15.321548
2018_01_18,29.695834350585937,112.50416564941406,0.79844147,0.35316467,0.018859863,0.35610962,0.0012664795,0.32878113,0.0005340576,1.18,1.31,1.48,0.30556,0.30603826,0.28792822,1.0,97.94872,88.8253,77.15444,5.230703,0.3159011,0.12532629,103.17943,89.141205,77.27977,-9.123421,-11.67086
2021_07_11,37.49583435058594,115.90416564941408,2.4925323,0.1966095,0.17567444,0.15348816,0.14282227,0.15614319,0.00047302246,1.29,1.37,1.43,0.26189393,0.27741173,0.2634598,1.0,58.195496,40.385876,41.44505,51.998817,37.57946,0.12555423,110.19431,77.96533,41.570602,-17.80962,1.0591736
2018_07_13,31.595834350585932,106.60416564941406,0.7883772,0.39637756,0.014419556,0.3962555,0.019866943,0.4126892,0.0018615723,1.31,1.41,1.49,0.28944302,0.30656615,0.33184463,1.0,104.53812,91.671005,83.464554,3.8029232,4.5960817,0.3764947,108.34104,96.26709,83.84105,-12.867111,-8.206451
2019_06_04,31.29583435058593,107.60416564941406,37.4436,0.3063202,0.13502502,0.3426056,0.103775024,0.38269043,0.010116577,1.32,1.34,1.47,0.2832487,0.2928447,0.28589535,1.0,81.92827,87.30765,91.05907,36.11373,26.44543,2.4071834,118.042,113.75308,93.46625,5.3793793,3.751419
