TM,lat,lon,ERA5_precipitation,ERA5_start_soil,ERA5_delta_soil,soil_temperature,evaporation,leaf_area_index_low_vegetation,pressure,temperature,wind_u,wind_v,Aspect,Dem,Slope,CLCD,BD,CLAY,GRAVL,POROSITY,SAND,SILT,EVI-day,NDVI-day,fenqu_ID,texture_class,topography_class,joint_class,FC_0_7cm,ASML1_RSM,DSML1_RSM,END_RSM
2021_07_11,19.7958,110.2042,0.0004871040582656,0.1779632568359375,0.00750732421875,311.1428527832031,-0.0029210462234914,2.1959228515625,100121.6015625,307.718017578125,-3.47467041015625,1.1088809967041016,124.85445404052734,31.0,0.0880627930164337,1.0,1.26,23.75,14.33,52.78,38.82,37.42,0.5306500196456909,0.7288249731063843,9.0,Loam,1,Loam_1,0.27951,50.5315301880154,2.13165676519794,52.66318695321333
2017_01_31,28.2958,115.8042,0.000375747680664,0.4205780029296875,0.0024871826171875,284.0994567871094,-0.0008171992376446,1.3353271484375,101895.96875,282.2742004394531,-0.9612884521484376,-1.75274658203125,33.690067291259766,23.0,0.0139583023265004,1.0,1.31,25.8,13.98,52.02,27.41,46.78,0.1450937539339065,0.3041312396526336,7.0,Loam,1,Loam_1,0.26856,119.54569207378208,0.7069603384256605,120.25265241220777
2020_06_03,24.4958,109.2042,0.0048009306192398,0.4897308349609375,0.0251312255859375,300.5004272460937,-0.0012877574190497,1.852294921875,98422.4765625,300.126953125,0.50030517578125,-0.5862998962402344,38.68226623535156,101.0,0.2570545673370361,1.0,1.25,23.86,21.69,55.84,38.36,37.76,0.4987187385559082,0.6719624996185303,8.0,Loam,1,Loam_1,0.30914086,126.7333823062891,6.503501500497216,133.23688380678632
2020_03_24,41.2958,123.0042,0.0006044507026672,0.277313232421875,7.62939453125e-05,285.99169921875,-0.0013943682424724,0.721435546875,100967.796875,290.5072326660156,2.2154541015625,4.57098388671875,322.18426513671875,18.0,0.1094445586204528,1.0,1.37,24.04,19.72,48.32,33.67,42.28,0.0947749987244606,0.1733624935150146,1.0,Loam,1,Loam_1,0.30495045,66.37747798902612,0.0182616589603351,66.39573964798646
2018_07_07,41.0958,82.5042,0.000150628387928,0.0268402099609375,0.0010833740234375,326.0913391113281,-0.0001847194507718,0.5225830078125,89727.203125,307.845458984375,2.940673828125,0.0993757247924804,144.4623260498047,969.0,0.0055504157207906,1.0,1.38,21.22,15.88,51.24,30.04,48.73,0.1204875037074089,0.170424997806549,2.0,Loam,1,Loam_1,0.25756782,7.551186909888714,0.3047949235941437,7.855981833482858
2017_09_03,22.9958,110.9042,0.0089268088340759,0.41900634765625,0.067779541015625,304.9852294921875,-0.0037848856300115,3.4049072265625,98352.28125,304.365234375,0.0841522216796875,-0.8886566162109375,327.6656494140625,145.0,0.952922523021698,1.0,1.04,24.21,13.63,54.2,45.7,30.07,0.5309500098228455,0.7679749727249146,8.0,Loam,1,Loam_1,0.29628783,135.97950307315708,21.99639303171754,157.9758961048746
2021_06_06,35.5958,111.0042,4.845857620239258e-05,0.0784759521484375,0.0003509521484375,316.5167236328125,-0.0008783927187323,2.7127685546875,94939.34375,312.16064453125,1.0384674072265625,3.2235260009765625,359.3277282714844,472.0,0.4949076175689697,1.0,1.31,14.69,10.13,51.97,44.26,41.03,0.3407500088214874,0.4538937509059906,4.0,Sandy Loam,1,Sandy Loam_1,0.25582913,23.416139899135047,0.1047192723468998,23.520859171481945
2018_03_22,24.2958,102.3042,0.0007896274328231,0.2619171142578125,0.006561279296875,292.49420166015625,-0.0016709631308913,2.75146484375,80832.9453125,292.8575744628906,1.2182769775390625,2.357528686523437,145.8535614013672,1829.0,0.2471398413181305,1.0,1.25,35.64,21.15,55.99,28.03,36.32,0.2768000066280365,0.7041000127792358,8.0,Clay Loam,4,Clay Loam_4,0.32489783,64.49217940490708,1.6155920270381614,66.10777143194524
2020_01_21,31.3958,112.0042,0.0005772426957264,0.3139801025390625,0.0048065185546875,282.83251953125,-0.0003333739005029,1.416015625,98885.71875,282.10906982421875,-1.8224639892578125,0.2646484375,61.32058334350586,204.0,0.727319598197937,1.0,1.3,25.9,20.65,54.99,31.92,42.17,0.218687504529953,0.4980687499046325,7.0,Loam,1,Loam_1,0.32693478,73.87502663353187,1.1309050585392693,75.00593169207114
2021_06_24,35.9958,111.2042,0.0002190470695495,0.1773681640625,0.0081024169921875,300.6507873535156,-0.0018072621896862,2.245849609375,91283.03125,300.427978515625,0.18310546875,1.6670379638671875,110.32022094726562,798.0,1.7608331441879272,1.0,1.23,16.05,11.66,54.44,36.87,47.07,0.2685937583446502,0.410093754529953,4.0,Loam,1,Loam_1,0.28271,51.0069539105113,2.330066459607837,53.337020370119134
2019_06_11,42.8958,80.8042,0.0026303008198738,0.39373779296875,0.02142333984375,286.6961975097656,-0.0017424155957996,2.8179931640625,82296.5,286.401611328125,-1.6757659912109375,-1.6337890625,335.2361145019531,1671.0,0.4590152502059936,1.0,1.28,15.84,10.77,57.7,42.34,41.8,0.3704000115394592,0.531499981880188,2.0,Loam,4,Loam_4,0.2771,111.00961773974592,6.040052058076394,117.04966979782232
2017_11_09,28.0958,106.2042,0.0004168674349784,0.3342742919921875,0.00738525390625,293.450927734375,-0.0015144841745495,1.2623291015625,91784.359375,296.24481201171875,-1.91412353515625,1.1319732666015625,62.74934768676758,1023.0,1.2778780460357666,1.0,1.26,24.53,22.04,55.7,39.05,36.4,0.3439312577247619,0.6006500124931335,8.0,Loam,4,Loam_4,0.28374782,93.4974785486129,2.0656767068758226,95.56315525548872
2018_01_06,33.4958,117.6042,0.0010076866019517,0.30474853515625,0.0507965087890625,277.13262939453125,-0.0002105571329593,0.9593505859375,102221.5,273.91729736328125,-0.9147796630859376,-0.8740234375,145.30484008789062,21.0,0.0102018676698207,1.0,1.25,25.72,18.5,52.33,18.16,56.1,0.0340499989688396,0.0431500002741813,7.0,Silt Loam,1,Silt Loam_1,0.30639,79.57140511276478,13.26322890148177,92.83463401424656
2022_05_23,29.4958,109.6042,0.0001753270626068,0.4649505615234375,0.0090789794921875,295.3544311523437,-0.0031672306358814,2.9639892578125,90991.09375,295.8359375,-0.7920989990234375,2.184382438659668,171.39639282226562,909.0,0.5520538091659546,1.0,1.22,25.67,20.53,57.3,32.89,41.42,0.4915125072002411,0.7033562660217285,7.0,Loam,1,Loam_1,0.28552,133.47822136528504,2.6063976145300325,136.08461897981508
2021_03_31,29.4958,121.0042,0.0022282749414443,0.4553985595703125,0.0369873046875,292.756591796875,-0.00167943444103,2.883056640625,98649.359375,295.11248779296875,-1.175384521484375,1.325042724609375,325.3746337890625,222.0,0.6029493808746338,1.0,1.13,28.27,16.07,53.48,37.1,34.62,0.3036499917507171,0.5605000257492065,7.0,Clay Loam,1,Clay Loam_1,0.38552216,104.53551485626262,8.49033633813304,113.02585119439568
2020_09_23,40.3958,122.4042,0.0036046802997589,0.3132476806640625,0.03497314453125,294.6263427734375,-0.0020735249854624,2.0113525390625,100660.15625,294.97314453125,0.9290924072265624,-0.0232086181640625,1.3278093338012695,78.0,0.3898131847381592,1.0,1.28,16.3,11.74,46.49,42.85,40.84,0.48496875166893,0.779143750667572,1.0,Loam,1,Loam_1,0.28340045,86.35298586110177,9.64104649976352,95.99403236086528
2020_07_29,48.7958,124.7042,0.0023795454762876,0.246337890625,0.0545501708984375,299.56298828125,-0.0022323187440633,2.78955078125,97900.0546875,300.03271484375,-0.402191162109375,1.0104970932006836,302.585693359375,259.0,0.1485579162836074,1.0,1.2,23.52,10.15,60.77,38.14,38.32,0.731124997138977,0.8999999761581421,1.0,Loam,1,Loam_1,0.34072044,60.24926931910317,13.341869289878211,73.59113860898138
2020_02_10,34.2958,117.9042,0.0002290159463882,0.2788848876953125,0.00555419921875,286.9418640136719,-0.0011304686777293,0.923828125,101738.7109375,288.7679443359375,1.058624267578125,3.10308837890625,116.56504821777344,25.0,0.0144276190549135,1.0,1.27,29.52,18.84,52.16,14.65,55.81,0.282212495803833,0.4589374959468841,7.0,Silty Clay Loam,1,Silty Clay Loam_1,0.39869,55.07898361134931,1.0969387773995265,56.17592238874884
2020_07_25,37.6958,113.2042,0.0022883862257003,0.2673797607421875,0.0333099365234375,295.2669982910156,-0.0017911670729517,1.6990966796875,88211.6953125,291.46142578125,0.39959716796875,2.6856231689453125,19.112972259521484,1125.0,0.3448430895805359,1.0,1.26,16.6,12.46,53.2,44.7,38.69,0.3610000014305115,0.6285437345504761,4.0,Sandy Loam,4,Sandy Loam_4,0.24046,88.250087049487,10.994118588656628,99.24420563814364
2018_05_19,31.1958,103.8042,0.0027781650424003,0.4938507080078125,0.0035552978515625,297.27801513671875,-0.0019072229042649,1.5711669921875,85928.0234375,295.664794921875,-0.15765380859375,1.2158050537109375,159.5971221923828,823.0,3.2169997692108154,1.0,1.17,21.72,32.86,55.03,35.07,43.2,0.4503312408924103,0.6893312335014343,6.0,Loam,2,Loam_2,0.29037654,145.36113083684364,1.0464743854467655,146.4076052222904
2019_07_23,46.3958,132.8042,0.005641350056976,0.3298492431640625,0.048492431640625,298.9591369628906,-0.0037106755189597,3.0714111328125,98787.3828125,301.9375,0.5863189697265625,1.6568241119384766,318.8030700683594,120.0,0.3164125978946686,1.0,1.1,25.31,8.6,58.81,28.48,46.2,0.582087516784668,0.904937505722046,1.0,Loam,1,Loam_1,0.33356,89.8977540265517,13.216221598574332,103.11397562512605
2019_09_17,47.4958,132.8042,0.001746043562889,0.3555755615234375,0.0365753173828125,289.5361633300781,-0.0024035973474383,1.9495849609375,100422.109375,289.173828125,-0.6147308349609375,3.086893081665039,40.601295471191406,52.0,0.011897318996489,1.0,1.07,27.87,23.79,57.58,34.76,37.35,0.4260750114917755,0.589662492275238,1.0,Clay Loam,1,Clay Loam_1,0.34738958,95.66021205944314,9.839828704736952,105.50004076418008
2021_08_12,47.9958,123.6042,0.0040676682256162,0.3788604736328125,0.02569580078125,293.2970886230469,-0.0027615246362984,2.51611328125,99147.0,294.9150390625,-2.4591217041015625,-1.30169677734375,147.875,182.0,0.0982815399765968,1.0,1.32,26.44,8.540000000000001,55.71,36.36,37.18,0.6534749865531921,0.8093374967575073,1.0,Loam,1,Loam_1,0.34362,83.52700958264602,5.665128846799142,89.19213842944515
2020_09_28,39.4958,117.6042,0.0015058889985084,0.3157806396484375,0.04620361328125,297.1457214355469,-0.001924199052155,2.0093994140625,101262.171875,297.87646484375,1.113922119140625,2.259695053100586,180.0,4.0,0.0025808908976614,1.0,1.31,26.49,13.27,49.4,27.97,45.53,0.3431249856948852,0.5200124979019165,3.0,Loam,1,Loam_1,0.17296174,139.36835013093287,20.39175473285648,159.76010486378934
2021_10_10,31.8958,119.3042,0.0001693964004516,0.2950897216796875,0.0230560302734375,300.53204345703125,-0.0022265003062784,1.4658203125,101301.0859375,297.980712890625,0.2115325927734375,-6.042816162109375,79.69515228271484,31.0,0.0721380561590194,1.0,1.23,22.23,12.7,53.43,33.63,44.12,0.4208062589168548,0.6683562397956848,7.0,Loam,1,Loam_1,0.27928045,85.9030207195005,6.71179814401806,92.61481886351856
2022_05_26,47.5958,131.1042,0.0001846328377723,0.2704925537109375,0.043609619140625,293.41162109375,-0.002341279760003,1.1614990234375,98894.28125,295.8798828125,-5.063140869140625,-2.942123413085937,156.80140686035156,66.0,0.0049138702452182,1.0,1.27,26.52,12.09,57.74,29.71,43.75,0.2069000005722046,0.3364000022411346,1.0,Loam,1,Loam_1,0.33445,63.68254231260807,10.26709008458475,73.94963239719281
2022_10_26,27.0958,103.0042,0.001140646636486,0.4788970947265625,0.0031890869140625,290.339111328125,-0.0012393337674438,1.5234375,74802.59375,287.9084777832031,0.7564239501953125,0.8929042816162109,220.8616943359375,2180.0,3.1075007915496826,1.0,1.13,28.7,21.06,54.26,31.4,39.89,0.2830062508583069,0.725487470626831,8.0,Clay Loam,8,Clay Loam_8,0.33352348,127.06833674680806,0.846177549150323,127.91451429595838
2018_06_29,40.3958,120.0042,0.0004848912358283,0.2419281005859375,0.00250244140625,303.48248291015625,-0.0023207664489746,2.9072265625,97668.890625,302.889404296875,2.1817626953125,2.5491771697998047,156.84060668945312,127.0,0.7431389689445496,1.0,1.31,13.41,24.41,50.86,56.45,30.12,0.3457750082015991,0.5016875267028809,1.0,Sandy Loam,1,Sandy Loam_1,0.19017,97.112025755155,1.0045015593721487,98.11652731452712
2022_12_01,23.3958,103.0042,0.0016245990991592,0.36871337890625,0.05810546875,289.69293212890625,-0.0011216453276574,2.73974609375,80174.828125,289.9761657714844,-0.7552032470703125,2.478500366210937,232.5736389160156,1795.0,1.315182089805603,1.0,1.08,26.27,20.21,54.94,29.22,44.5,0.2748624980449676,0.5943874716758728,8.0,Loam,4,Loam_4,0.32175,106.10762292619933,16.721479395090505,122.8291023212898
2022_11_26,36.5958,113.6042,0.0002681195619516,0.321929931640625,0.00360107421875,280.2906188964844,-0.00064661167562,0.7440185546875,92661.890625,275.9945068359375,-2.202505111694336,0.522552490234375,43.54671859741211,450.0,0.4317350387573242,1.0,1.3,18.04,28.51,51.27,41.12,40.83,0.0869499966502189,0.1802999973297119,3.0,Loam,1,Loam_1,0.2513852,98.5095419119053,1.1019173329798866,99.61145924488518
2022_04_16,24.9958,103.5042,0.005914457142353,0.3212738037109375,0.07415771484375,297.70074462890625,-0.0033029741607606,2.19970703125,80229.328125,298.52801513671875,4.752638816833496,4.130630493164063,328.30743408203125,1848.0,0.3131752610206604,1.0,1.25,36.11,27.53,52.04,27.08,36.79,0.1691000014543533,0.2957000136375427,8.0,Clay Loam,4,Clay Loam_4,0.30468,84.3570444298116,19.47163314789287,103.82867757770448
2019_05_31,36.3958,120.5042,0.0008563712472096,0.140777587890625,0.00762939453125,303.738037109375,-0.0008937586098909,1.596435546875,100129.46875,299.531982421875,1.26318359375,2.59686279296875,62.7004280090332,88.0,0.2250881940126419,1.0,1.34,15.06,18.13,49.66,52.22,32.7,0.3006249964237213,0.4335437417030334,3.0,Sandy Loam,1,Sandy Loam_1,0.26682,39.374072937153954,2.133864780899304,41.507937718053256
2019_09_06,27.3958,102.5042,0.0010747164487838,0.47271728515625,0.0095672607421875,297.1644897460937,-0.0027053700760006,2.6416015625,77488.6796875,294.603271484375,0.2195281982421875,0.9077596664428712,76.0496597290039,1261.0,2.7118172645568848,1.0,1.33,29.8,20.38,53.53,32.15,38.03,0.2505500018596649,0.3614625036716461,6.0,Clay Loam,5,Clay Loam_5,0.31890824,111.45103374960432,2.255642290542347,113.70667604014666
2018_03_01,41.9958,114.8042,0.000286410737317,0.2281494140625,0.0032958984375,271.412109375,-2.7558766305446625e-05,0.6845703125,84250.140625,270.34991455078125,3.8311767578125,2.036117553710937,93.01278686523438,1446.0,0.110485665500164,1.0,1.44,15.96,10.93,51.14,51.02,33.01,0.1093624979257583,0.1826249957084655,3.0,Sandy Loam,4,Sandy Loam_4,0.24719,64.09526805249335,0.9259348514806424,65.021202903974
2022_12_12,47.5958,121.5042,6.987154483795166e-05,0.309173583984375,1.52587890625e-05,265.4949951171875,-0.000124046113342,1.3768310546875,89929.46875,258.2191772460937,4.2655029296875,-1.773822784423828,297.5076599121094,815.0,0.1578591167926788,1.0,1.24,20.32,21.41,58.77,41.25,38.42,0.1267500072717666,0.2046000063419342,2.0,Loam,1,Loam_1,0.31484,79.19372871022429,0.0039084852783646,79.19763719550265
2022_02_21,30.3958,106.1042,0.0008834972977638,0.361053466796875,0.0068511962890625,284.53338623046875,-0.0010221302509307,1.0887451171875,99110.359375,281.9542236328125,-1.53125,0.0854034423828125,120.5999755859375,273.0,0.0697138905525207,1.0,1.24,25.17,14.34,51.03,29.88,44.93,0.2390249967575073,0.5023375153541565,6.0,Loam,1,Loam_1,0.29117,100.00073862095722,1.8975712805684133,101.89830990152564
2019_07_24,32.8958,116.9042,0.0035636574029922,0.2899017333984375,0.045013427734375,308.09228515625,-0.0029549053870141,2.3890380859375,99768.359375,307.8974609375,1.2396697998046875,2.754180908203125,117.89727020263672,21.0,0.0124111073091626,1.0,1.26,28.48,21.31,51.83,18.61,52.9,0.6038687229156494,0.8415125012397766,7.0,Silty Clay Loam,1,Silty Clay Loam_1,0.3034,75.83412682676688,11.774865737089442,87.60899256385632
2021_04_24,26.1958,111.5042,0.0001972541213035,0.475433349609375,0.0111846923828125,299.80010986328125,-0.0030376114882528,1.8575439453125,97563.046875,299.6256103515625,-0.4829254150390625,-2.612457275390625,25.296781539916992,151.0,0.9255337715148926,1.0,1.23,23.23,10.89,50.8,46.88,29.87,0.3858000040054321,0.7124999761581421,7.0,Loam,1,Loam_1,0.31803,121.53921911272752,2.859241530574147,124.39846064330166
2017_10_06,44.6958,122.0042,0.0002747476100921,0.2803955078125,0.0012969970703125,294.2543334960937,-0.0006689066067337,0.8367919921875,98692.890625,296.67901611328125,2.4146728515625,5.622547149658203,112.7509765625,177.0,0.0216894671320915,1.0,1.58,8.56,7.49,49.95,77.46000000000001,13.97,0.1176125034689903,0.1416562497615814,2.0,Loamy Sand,1,Loamy Sand_1,0.17715,100.1781040213007,0.4633836984006616,100.64148771970136
2020_08_07,31.0958,118.2042,0.0022352933883666,0.2763519287109375,0.037078857421875,303.6299743652344,-0.002679337747395,2.9251708984375,99594.09375,305.084716796875,1.152679443359375,2.6472606658935547,78.90628051757812,100.0,0.1341316103935241,1.0,1.03,24.66,20.15,52.620000000000005,28.01,47.32,0.5745499730110168,0.8272500038146973,7.0,Loam,1,Loam_1,0.30855,86.95603416259186,11.667117388056884,98.62315155064874
2017_10_05,36.0958,119.7042,0.0003625303506851,0.271148681640625,0.0306854248046875,292.2855224609375,-0.0013273158110678,1.145263671875,101211.546875,291.170654296875,-2.1858673095703125,-0.3063545227050781,45.0,82.0,0.1104102805256843,1.0,1.34,17.150000000000002,8.71,50.120000000000005,41.99,40.85,0.2394250035285949,0.2887000143527984,3.0,Loam,1,Loam_1,0.28696567,70.5135783030691,7.979899041500954,78.49347734457005
2017_10_25,23.6958,104.4042,0.0002644807100296,0.4613189697265625,0.0084075927734375,292.11572265625,-0.0016085258685052,1.6256103515625,84599.921875,292.09747314453125,0.2165374755859375,3.7640533447265625,257.0821838378906,1572.0,0.3607722818851471,1.0,1.15,30.36,15.24,52.81,29.79,39.83,0.3253499865531921,0.5723999738693237,8.0,Clay Loam,4,Clay Loam_4,0.28794,139.31615273911612,2.5390533575646805,141.8552060966808
2018_05_29,24.8958,98.9042,0.010175347328186,0.414581298828125,0.024383544921875,295.6937255859375,-0.000912663526833,2.8162841796875,86642.5234375,294.864013671875,0.303253173828125,0.192230224609375,246.10093688964844,1442.0,2.1888203620910645,1.0,1.26,30.89,19.48,56.25,30.96,38.13,0.3445062637329101,0.6077812314033508,8.0,Clay Loam,5,Clay Loam_5,0.38850653,84.69169793560954,4.981131148365993,89.67282908397553
2019_10_24,47.3958,126.0042,0.0001995265483856,0.2690887451171875,0.0415496826171875,281.0917663574219,-0.0005926955491304,1.823974609375,98965.6328125,280.5804443359375,-1.7373504638671875,-2.58831787109375,176.633544921875,279.0,0.054938718676567,1.0,1.25,25.09,8.63,60.5,32.01,42.88,0.1341249942779541,0.2791000008583069,1.0,Loam,1,Loam_1,0.35551828,60.55131569992688,9.349658783719926,69.9009744836468
2017_03_11,26.5958,115.5042,0.0006331950426101,0.4680328369140625,0.0148162841796875,289.6573181152344,-0.0011250837706029,2.6495361328125,96136.265625,290.7172241210937,0.363739013671875,-0.796417236328125,175.90650939941406,356.0,0.334429532289505,1.0,1.12,27.66,11.32,54.99,33.61,38.72,0.3157750070095062,0.5183500051498413,7.0,Clay Loam,1,Clay Loam_1,0.38848737,107.56757974664993,3.4052137037132684,110.9727934503632
2018_05_06,24.9958,112.6042,0.0056421756744384,0.4025115966796875,0.055999755859375,300.1176147460937,-0.0032242885790765,2.9854736328125,95327.03125,301.078369140625,1.3270263671875,3.315048217773437,293.8920288085937,708.0,2.1830639839172363,1.0,1.34,21.67,13.69,52.6,38.19,40.12,0.3561750054359436,0.5954499840736389,9.0,Loam,2,Loam_2,0.31667218,94.85575542724683,13.196884734750974,108.05264016199784
2018_08_13,24.0958,116.8042,0.0118157714605331,0.3507843017578125,0.0821685791015625,304.1156616210937,-0.0039780940860509,2.7105712890625,96135.15625,301.8642578125,-1.864471435546875,2.321044921875,209.2034454345703,71.0,1.5917788743972778,1.0,1.1,23.68,13.63,54.26,33.38,42.93,0.288100004196167,0.4627000093460083,9.0,Loam,1,Loam_1,0.32086957,99.38456294868644,23.28008488749735,122.6646478361838
2021_05_07,46.0958,128.7042,0.0094603598117828,0.392242431640625,0.0336761474609375,282.6822204589844,-0.0013767890632152,2.3909912109375,96753.140625,284.55322265625,-0.40643310546875,-1.0558586120605469,178.9658966064453,115.0,0.1787552386522293,1.0,1.27,23.67,12.18,56.870000000000005,35.93,40.38,0.0802749991416931,0.2052687555551529,1.0,Loam,1,Loam_1,0.33099,93.31167357879237,8.01131500771784,101.3229885865102
2021_05_09,42.2958,117.4042,0.0006381645798683,0.232269287109375,0.0010833740234375,281.88482666015625,-0.0009921500459313,1.3314208984375,83692.53125,284.99072265625,2.4230194091796875,1.32769775390625,150.57699584960938,1311.0,1.1110152006149292,1.0,1.2,18.06,18.98,60.1,42.98,38.95,0.2619999945163727,0.5127999782562256,3.0,Loam,4,Loam_4,0.28961086,66.83372966670258,0.3117326768056683,67.14546234350824
2017_05_29,29.5958,105.3042,0.00028657913208,0.2910614013671875,0.0553741455078125,303.2626647949219,-0.0034099123440682,1.6978759765625,96155.875,303.383056640625,-1.0399322509765625,0.0646915435791015,341.0753479003906,384.0,0.0954928770661354,1.0,1.23,25.81,12.82,51.71,26.19,47.99,0.4953374862670898,0.701393723487854,6.0,Loam,1,Loam_1,0.28944302,81.75539547106028,15.553883625922818,97.3092790969831
2019_10_30,47.1958,133.8042,0.0042816027998924,0.3833465576171875,0.025543212890625,278.88458251953125,-0.0009142132475972,1.89501953125,100540.203125,278.44744873046875,1.438568115234375,1.604705810546875,18.323261260986328,89.0,0.2093417793512344,1.0,1.1,21.68,21.81,57.66,32.22,46.08,0.1367249935865402,0.2704562544822693,1.0,Loam,1,Loam_1,0.33055,105.4293966301859,7.024989450261959,112.45438608044786
2018_05_18,24.0958,104.9042,0.0020437389612197,0.36224365234375,0.00958251953125,301.9093017578125,-0.0041968221776187,2.19775390625,85475.96875,301.80029296875,2.41827392578125,3.3274641036987305,126.88748931884766,1415.0,0.4202905893325805,1.0,1.27,29.73,17.61,54.89,31.53,38.72,0.5497499704360962,0.8083000183105469,8.0,Clay Loam,4,Clay Loam_4,0.32696,87.23734472654557,2.3077107198092093,89.54505544635478
2019_05_04,31.7958,107.2042,0.0020723044872283,0.2922515869140625,0.0716400146484375,296.30926513671875,-0.0027032541111111,1.79931640625,94548.703125,297.296875,0.119903564453125,1.576059341430664,313.1397705078125,410.0,0.5340684056282043,1.0,1.32,24.98,15.99,55.72,31.81,43.19,0.3928500115871429,0.6739374995231628,6.0,Loam,1,Loam_1,0.28944302,76.49267802662446,18.75075044823275,95.2434284748572
2018_10_17,45.0958,84.6042,0.0008828490972518,0.1051177978515625,0.046875,283.2632751464844,-0.0001601199619472,0.511474609375,98774.03125,279.5653991699219,5.449737548828125,0.097625732421875,0.0,283.0,0.021937571465969,1.0,1.31,18.65,9.11,52.05,33.77,47.57,0.1798000037670135,0.2526000142097473,2.0,Loam,1,Loam_1,0.28922,27.74448301632622,12.372049909443191,40.11653292576941
2019_01_02,24.3958,116.0042,0.0004880875349044,0.3781890869140625,0.0301361083984375,284.47381591796875,-0.000734765548259,2.28466796875,99616.34375,282.94049072265625,0.3533821105957031,-2.553131103515625,220.1009063720703,200.0,0.2564302980899811,1.0,1.13,20.01,11.3,54.74,49.08,30.9,0.3384000062942505,0.670799970626831,9.0,Loam,1,Loam_1,0.31049,107.79110692407193,8.589365994554854,116.38047291862678
2021_10_01,44.5958,85.2042,0.0068787634372711,0.064300537109375,0.1163177490234375,296.61871337890625,-0.0001512179151177,0.712890625,96624.46875,289.377197265625,-0.1302337646484375,-4.6929931640625,355.7561340332031,400.0,0.1830994486808776,1.0,1.35,16.080000000000002,18.74,52.2,41.53,42.38,0.2117999941110611,0.3574000000953674,2.0,Loam,1,Loam_1,0.28922,16.46844183957746,29.790918875913373,46.25936071549083
2022_05_12,21.8958,109.1042,0.0103874951601028,0.4273681640625,0.001251220703125,299.876220703125,-0.0015130317769944,1.7320556640625,99743.7734375,299.727294921875,1.0987396240234375,-0.121795654296875,157.16635131835938,44.0,0.1064127385616302,1.0,1.34,24.48,31.64,52.14,34.68,40.82,0.0217374991625547,0.0214374996721744,8.0,Loam,1,Loam_1,0.3230999,98.7098620947526,0.2889963114742114,98.99885840622682
2017_06_30,30.6958,117.3042,0.0157965868711471,0.4168548583984375,0.00958251953125,299.0574951171875,-0.0011481130495667,2.625,100114.40625,299.149169921875,-1.808685302734375,1.633026123046875,318.5214538574219,14.0,0.2376929521560669,1.0,1.29,23.12,27.97,52.35,38.2,38.67,0.5041124820709229,0.732268750667572,7.0,Loam,1,Loam_1,0.29009503,111.39222243278697,2.5606470107906665,113.95286944357764
2020_06_15,33.7958,115.4042,0.0093147605657577,0.2386932373046875,0.162109375,304.746826171875,-0.0015039299614727,1.109375,100066.671875,303.687255859375,-0.323333740234375,2.147857666015625,201.0375061035156,39.0,0.0089869126677513,1.0,1.24,28.4,19.77,52.66,17.52,54.06,0.2905812561511993,0.4388000071048736,3.0,Silty Clay Loam,1,Silty Clay Loam_1,0.17228782,111.72847054043498,75.88079466992146,187.60926521035643
2022_08_14,22.7958,101.3042,0.0004765540361404,0.453338623046875,0.00640869140625,298.45623779296875,-0.0030610314570367,2.9779052734375,86398.9296875,300.18212890625,1.6596221923828125,0.5585174560546875,199.60321044921875,1453.0,1.0806783437728882,1.0,1.1,25.45,17.2,57.07,31.93,42.61,0.4862000048160553,0.6822999715805054,8.0,Loam,4,Loam_4,0.27988565,147.2479996568972,2.0815940712183383,149.32959372811555
2019_12_27,45.8958,121.1042,0.001071274280548,0.2313995361328125,1.52587890625e-05,264.0357666015625,-5.70458360016346e-05,0.90771484375,94322.71875,262.07965087890625,2.0094146728515625,0.3166236877441406,152.12069702148438,595.0,0.4277392029762268,1.0,1.25,19.95,21.74,49.3,47.35,32.69,0.0746812522411346,0.1211812496185302,2.0,Sandy Loam,1,Sandy Loam_1,0.33271,55.63993535098133,0.0036689703495536,55.64360432133088
2017_03_04,29.0958,104.2042,0.0024822279810905,0.287017822265625,0.045928955078125,289.9029541015625,-0.0011976934038102,2.20068359375,96242.890625,289.77984619140625,-0.670257568359375,0.4143218994140625,72.25532531738281,335.0,0.3048510551452636,1.0,1.26,24.69,13.8,52.94,31.05,44.25,0.183225005865097,0.5153625011444092,6.0,Loam,1,Loam_1,0.29554,77.07651161705208,12.333880912670214,89.41039252972229
2020_07_20,30.3958,109.4042,0.0085336565971374,0.3992462158203125,0.02825927734375,298.56134033203125,-0.0025751292705535,3.404052734375,90261.5,298.760009765625,0.0337371826171875,1.6054306030273438,122.77381896972656,688.0,0.8056944608688354,1.0,1.27,25.81,21.16,56.84,28.42,45.76,0.5670499801635742,0.8104000091552734,7.0,Loam,1,Loam_1,0.32781914,95.89650533251724,6.787706014745727,102.68421134726296
2020_04_03,47.2958,131.6042,0.0010532289743423,0.302459716796875,0.005035400390625,273.9576416015625,-0.0004517808556556,1.1534423828125,100066.5,273.31573486328125,-1.032257080078125,-4.9243011474609375,71.56504821777344,55.0,0.0061211204156279,1.0,1.15,32.78,12.19,57.31,28.46,38.74,0.1086250022053718,0.2177750021219253,1.0,Clay Loam,1,Clay Loam_1,0.28916,90.95602759323108,1.514251291785201,92.47027888501628
