TM,lat,lon,ERA5_precipitation,ERA5_start_soil,ERA5_delta_soil,soil_temperature,evaporation,leaf_area_index_low_vegetation,pressure,temperature,wind_u,wind_v,Aspect,Dem,Slope,CLCD,BD,CLAY,GRAVL,POROSITY,SAND,SILT,EVI-day,NDVI-day,fenqu_ID,texture_class,topography_class,joint_class,FC_0_7cm,ASML1_RSM,DSML1_RSM,END_RSM
2017_03_06,25.1958,107.5042,0.0010555833578109,0.472900390625,0.00390625,287.9730834960937,-0.0012798248790204,2.5172119140625,91450.296875,286.90679931640625,-1.720062255859375,-1.1816558837890625,167.80303955078125,848.0,0.2779098749160766,1.0,1.3,21.02,14.9,55.2,34.62,44.34,0.2601000070571899,0.7142000198364258,8.0,Loam,1,Loam_1,0.26478872,137.38105280693227,1.13479444755339,138.51584725448566
2018_06_25,48.0958,123.7042,0.0077881990000605,0.353179931640625,0.0506591796875,292.6913452148437,-0.0010251309722661,1.61962890625,97701.828125,293.316162109375,-2.06884765625,0.9583444595336914,135.3370361328125,184.0,0.1551243811845779,1.0,1.27,23.43,7.51,49.31,40.81,35.74,0.2732625007629394,0.5940625071525574,1.0,Loam,1,Loam_1,0.30484,91.22635952063276,13.085263700358624,104.31162322099138
2019_01_24,30.2958,106.2042,0.0001572996407048,0.3242340087890625,0.0007171630859375,284.5992431640625,-0.0003413194790482,0.8826904296875,98111.7734375,284.7032775878906,-0.7430095672607422,-1.4133148193359375,249.7024383544922,274.0,0.1004393398761749,1.0,1.25,21.81,11.29,51.63,34.96,43.21,0.1064999997615814,0.1757874935865402,6.0,Loam,1,Loam_1,0.29117,89.0844547965965,0.1970431255795583,89.28149792217606
2018_10_20,26.8958,116.9042,0.0009030103683471,0.4532012939453125,0.0135498046875,292.0304870605469,-0.0014525055885314,0.0,96312.515625,291.8409423828125,-0.2215118408203125,-0.671112060546875,9.002696990966797,320.0,0.3834640085697174,1.0,1.16,24.38,9.71,56.370000000000005,31.27,44.34,0.4384062588214874,0.8682249784469604,9.0,Loam,1,Loam_1,0.38636348,101.1200050901578,3.023284216695065,104.14328930685284
2020_04_19,49.5958,124.5042,0.0060289055109024,0.2231597900390625,0.0009613037109375,281.46502685546875,-0.0006510741077363,1.5172119140625,96942.484375,280.515869140625,-2.534881591796875,-2.812362670898437,52.35237884521485,269.0,0.0570429265499115,1.0,1.24,20.5,20.67,64.2,43.18,36.3,0.1044000014662742,0.2415000051259994,2.0,Loam,1,Loam_1,0.30681652,58.65641544078108,0.252673789591057,58.90908923037214
2020_05_22,46.8958,127.8042,0.0052362084388732,0.20721435546875,0.0587158203125,292.9936218261719,-0.0028443783521652,2.021240234375,98078.8125,295.697998046875,-0.1616668701171875,1.7054595947265625,301.26373291015625,200.0,0.0422707013785839,1.0,1.1,29.35,23.14,58.98,39.5,31.14,0.1042687520384788,0.3722187578678131,1.0,Clay Loam,1,Clay Loam_1,0.33055,56.98886304334373,16.148243371928327,73.13710641527206
2019_02_18,39.8958,118.9042,0.0001797899603843,0.23577880859375,0.0048065185546875,272.33770751953125,-3.739958629012108e-05,1.205810546875,100968.5859375,276.87713623046875,1.4793701171875,1.6677703857421875,124.5203857421875,109.0,0.160536915063858,1.0,1.26,15.9,31.38,49.3,40.06,44.02,0.1076000034809112,0.210999995470047,3.0,Loam,1,Loam_1,0.27831,67.23654865670234,1.3706648218263806,68.60721347852872
2017_11_05,25.3958,114.7042,0.0003202125371899,0.282623291015625,0.001220703125,294.85137939453125,-0.0010245442390441,2.5888671875,98493.546875,294.39776611328125,-0.8725433349609375,-2.582061767578125,120.71890258789062,185.0,0.2071467489004135,1.0,1.23,27.82,9.46,53.04,37.5,34.67,0.292006254196167,0.4759750068187713,7.0,Clay Loam,1,Clay Loam_1,0.29059,79.07189970268645,0.341526399752452,79.4134261024389
2022_05_05,42.6958,125.6042,6.113946437835693e-05,0.2415771484375,0.0345458984375,293.1151123046875,-0.0024715694598853,0.948486328125,96400.3203125,295.90576171875,2.99029541015625,8.529202461242676,130.03025817871094,376.0,0.063198871910572,1.0,1.25,16.28,22.2,53.24,38.62,45.08,0.2041937559843063,0.3725562393665313,1.0,Loam,1,Loam_1,0.32927,58.69399542928296,8.393330321620555,67.08732575090352
2020_05_29,23.6958,112.8042,0.0130145549774169,0.4476470947265625,0.010009765625,301.40789794921875,-0.0027728234417736,2.7156982421875,97965.3515625,299.754150390625,0.926116943359375,3.5478057861328125,152.48472595214844,16.0,0.8351262807846069,1.0,1.08,25.31,14.08,56.38,41.98,32.69,0.1641499996185302,0.2366999983787536,9.0,Loam,1,Loam_1,0.32135,128.98336725462673,2.884176600164814,131.8675438547915
2022_09_29,24.8958,107.5042,0.0023828595876693,0.40911865234375,0.0247650146484375,298.4423217773437,-0.0021266043186187,2.9674072265625,92219.65625,297.05078125,0.159393310546875,-1.1156463623046875,166.3023681640625,808.0,1.0325804948806765,1.0,1.28,28.28,20.56,55.36,36.25,35.45,0.0858749970793724,0.1139625012874603,8.0,Clay Loam,1,Clay Loam_1,0.35057047,91.17252435538984,5.518909705683937,96.6914340610738
